,means,stds,params,Model,Recall,F1_Score,Iteration,AUC
0,0.8649313358302123,0.0360971085019984,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'penalty': 'l2'}",SGDClassifier,0.7982352941176469,0.8155423243739506,13,0.9114763036527742
0,0.8728006658343738,0.03041402354429,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 8, 'splitter': 'random'}",DecisionTreeClassifier,0.7426890756302521,0.8187686461966726,13,0.8986244518009224
0,0.870174781523096,0.0292489114750771,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1000, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 1500}",RandomForestClassifier,0.7778991596638656,0.8163200688200689,13,0.9207759103641456
0,0.8697919267582189,0.0301063700917059,"{'colsample_bytree': 0.5, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 12, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.9, 'use_label_encoder': False}",XGBClassifier,0.780672268907563,0.8243259265199454,13,0.927092804798687
0,0.8653141905950893,0.0340654890819334,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.7748739495798318,0.8072331341041581,14,0.9110712446594798
0,0.8626924677486476,0.0317400695649268,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",SVC,0.751344537815126,0.8046769423572044,14,0.9027104942987296
0,0.821947565543071,0.0335015712288177,{'var_smoothing': 0.12067926406393285},GaussianNB,0.6316806722689077,0.7229430520389244,14,0.8725560082618905
0,0.8207490636704119,0.0495521685857248,"{'early_stopping': False, 'eta0': 1.0, 'max_iter': 100, 'penalty': None}",Perceptron,0.7605882352941176,0.7389041828627894,14,0.8590831847890671
0,0.8653058676654182,0.0341089918022113,"{'C': 0.01, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.7689915966386554,0.8108048470057725,14,0.9111680672268908
0,0.8653058676654183,0.0343386117202317,"{'alpha': 0.1, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'penalty': 'l2'}",SGDClassifier,0.7925210084033613,0.8103012943127019,14,0.90196061454885
0,0.8712983770287139,0.0341099056845046,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 12, 'splitter': 'random'}",DecisionTreeClassifier,0.7515966386554622,0.8229501576447854,14,0.9062557224910164
0,0.8724178110694965,0.0290644628909046,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10000, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 500}",RandomForestClassifier,0.7925210084033615,0.8271478179354862,14,0.9202418866536516
0,0.8731668747399084,0.0370175656148729,"{'colsample_bytree': 0.9, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.5, 'use_label_encoder': False}",XGBClassifier,0.786470588235294,0.8196383886178296,14,0.92922711710947
0,0.8600749063670412,0.0365522860209568,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.7719327731092437,0.805715260120324,15,0.9096748153806977
0,0.8211735330836453,0.03943180540282885,{'var_smoothing': 0.03393221771895328},GaussianNB,0.7430252100840335,0.7621464214494753,15,0.8700884757943582
0,0.8297752808988762,0.05549689702990305,"{'early_stopping': False, 'eta0': 1.0, 'max_iter': 100, 'penalty': 'l2'}",Perceptron,0.7605042016806722,0.7051477919497657,15,0.9032187137481256
0,0.860461922596754,0.03773683887954344,"{'C': 0.01, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.7631092436974789,0.803449801002144,15,0.90988260758849
0,0.858942987931752,0.03793545419855591,"{'alpha': 0.1, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'penalty': 'l2'}",SGDClassifier,0.7631092436974789,0.8007591696180297,15,0.911281017457488
0,0.8675613816063256,0.039147964944265305,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 9, 'min_samples_split': 32, 'splitter': 'best'}",DecisionTreeClassifier,0.7747899159663865,0.802730470736343,15,0.9102765469824294
0,0.8645776113191843,0.0351916743555168,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1000, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 500}",RandomForestClassifier,0.7777310924369747,0.8113664696926985,15,0.9208311405370229
0,0.8660757386600081,0.03716010917174809,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 12, 'n_estimators': 500, 'subsample': 0.9, 'use_label_encoder': False}",XGBClassifier,0.7923529411764705,0.8231313286615061,15,0.9248962170726877
